year,total_articles,focused_articles,average_sentiment_score,positive_articles,neutral_articles,negative_articles,focus_rate,positive_rate,neutral_rate,negative_rate,conflict_and_security_count,economy_and_business_count,environment_and_climate_count,health_and_development_count,other_count,politics_and_governance_count,sport_and_football_count,tourism_and_culture_count,conflict_and_security_rate,economy_and_business_rate,environment_and_climate_rate,health_and_development_rate,other_rate,politics_and_governance_rate,sport_and_football_rate,tourism_and_culture_rate,tourist_arrivals,tourist_arrivals_next_year
2006,346,45,-0.13872832369942195,18,262,66,0.13005780346820808,0.05202312138728324,0.7572254335260116,0.1907514450867052,17,1,5,5,0,7,5,5,0.37777777777777777,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.0,0.15555555555555556,0.1111111111111111,0.1111111111111111,290000.0,312000.0
2007,496,71,-0.07862903225806452,31,395,70,0.1431451612903226,0.0625,0.7963709677419355,0.14112903225806453,30,5,0,6,1,10,4,15,0.4225352112676056,0.07042253521126761,0.0,0.08450704225352113,0.014084507042253521,0.14084507042253522,0.056338028169014086,0.2112676056338028,312000.0,330000.0
2008,486,46,-0.10082304526748971,20,397,69,0.09465020576131687,0.0411522633744856,0.8168724279835391,0.1419753086419753,7,3,1,11,1,4,13,6,0.15217391304347827,0.06521739130434782,0.021739130434782608,0.2391304347826087,0.021739130434782608,0.08695652173913043,0.2826086956521739,0.13043478260869565,330000.0,427000.0
2009,358,28,-0.055865921787709494,19,300,39,0.0782122905027933,0.05307262569832402,0.8379888268156425,0.10893854748603352,5,1,5,5,1,2,0,9,0.17857142857142858,0.03571428571428571,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.07142857142857142,0.0,0.32142857142857145,427000.0,468000.0
2010,336,41,-0.05654761904761905,20,277,39,0.12202380952380952,0.05952380952380952,0.8244047619047619,0.11607142857142858,11,3,2,3,1,13,1,7,0.2682926829268293,0.07317073170731707,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.3170731707317073,0.024390243902439025,0.17073170731707318,468000.0,523000.0
2011,568,66,-0.035211267605633804,31,486,51,0.11619718309859155,0.05457746478873239,0.8556338028169014,0.0897887323943662,2,10,10,16,5,5,5,13,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.24242424242424243,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.19696969696969696,523000.0,596000.0
2012,537,83,-0.05027932960893855,44,422,71,0.15456238361266295,0.08193668528864059,0.7858472998137802,0.13221601489757914,11,3,6,16,12,15,12,8,0.13253012048192772,0.03614457831325301,0.07228915662650602,0.1927710843373494,0.14457831325301204,0.18072289156626506,0.14457831325301204,0.0963855421686747,596000.0,681300.0
2013,517,68,-0.005802707930367505,40,434,43,0.13152804642166344,0.07736943907156674,0.839458413926499,0.08317214700193423,13,9,5,17,2,9,8,5,0.19117647058823528,0.1323529411764706,0.07352941176470588,0.25,0.029411764705882353,0.1323529411764706,0.11764705882352941,0.07352941176470588,681300.0,770300.0
2014,524,62,-0.05152671755725191,43,411,70,0.1183206106870229,0.08206106870229007,0.7843511450381679,0.13358778625954199,12,6,2,21,1,4,3,13,0.1935483870967742,0.0967741935483871,0.03225806451612903,0.3387096774193548,0.016129032258064516,0.06451612903225806,0.04838709677419355,0.20967741935483872,770300.0,863800.0
2015,594,75,-0.058922558922558925,51,457,86,0.12626262626262627,0.08585858585858586,0.7693602693602694,0.1447811447811448,12,8,0,17,4,14,5,15,0.16,0.10666666666666667,0.0,0.22666666666666666,0.05333333333333334,0.18666666666666668,0.06666666666666667,0.2,863800.0,870600.0
2016,454,47,-0.046255506607929514,31,371,52,0.10352422907488987,0.06828193832599119,0.8171806167400881,0.1145374449339207,10,3,3,5,1,6,10,9,0.2127659574468085,0.06382978723404255,0.06382978723404255,0.10638297872340426,0.02127659574468085,0.1276595744680851,0.2127659574468085,0.19148936170212766,870600.0,933300.0
2017,380,33,-0.09473684210526316,23,298,59,0.0868421052631579,0.060526315789473685,0.7842105263157895,0.15526315789473685,5,6,1,8,1,6,5,1,0.15151515151515152,0.18181818181818182,0.030303030303030304,0.24242424242424243,0.030303030303030304,0.18181818181818182,0.15151515151515152,0.030303030303030304,933300.0,849200.0
2018,269,30,0.0,21,227,21,0.11152416356877323,0.07806691449814127,0.8438661710037175,0.07806691449814127,5,2,1,1,1,9,1,10,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.03333333333333333,0.3333333333333333,849200.0,811600.0
2019,404,47,-0.05198019801980198,22,339,43,0.11633663366336634,0.054455445544554455,0.8391089108910891,0.10643564356435643,13,2,6,4,1,6,5,10,0.2765957446808511,0.0425531914893617,0.1276595744680851,0.0851063829787234,0.02127659574468085,0.1276595744680851,0.10638297872340426,0.2127659574468085,811600.0,
2020,378,60,-0.14814814814814814,17,288,73,0.15873015873015872,0.04497354497354497,0.7619047619047619,0.1931216931216931,40,1,4,6,0,1,1,7,0.6666666666666666,0.016666666666666666,0.06666666666666667,0.1,0.0,0.016666666666666666,0.016666666666666666,0.11666666666666667,,518100.0
2021,359,81,-0.15041782729805014,21,263,75,0.22562674094707522,0.0584958217270195,0.7325905292479109,0.20891364902506965,47,0,0,8,2,9,9,6,0.5802469135802469,0.0,0.0,0.09876543209876543,0.024691358024691357,0.1111111111111111,0.1111111111111111,0.07407407407407407,518100.0,
